timestamp(ms),RFND[0].Dist
1188378.2008873927,1.99
1188478.2008873927,1.97
1188578.2008873927,2.03
1188678.2008873927,2.01
1188778.2008873927,2.01
1188878.2008873927,2.01
1188978.2008873927,2.01
1189078.2008873927,2.01
1189178.2008873927,2.04
1189278.2008873927,2.14
1189378.2008873927,2.14
1189478.2008873927,2.14
1189578.2008873927,2.14
1189678.2008873927,2.09
1189778.2008873927,2.09
1189878.2008873927,2.09
1189978.2008873927,1.98
1190078.2008873927,1.94
1190178.2008873927,1.98
1190278.2008873927,1.99
1190378.2008873927,2
1190478.2008873927,2.06
1190578.2008873927,1.96
1190678.2008873927,1.94
1190778.2008873927,2.04
1190878.2008873927,1.93
1190978.2008873927,1.92
1191078.2008873927,1.98
1191178.2008873927,1.9
1191278.2008873927,1.95
1191378.2008873927,2
1191478.2008873927,2
1191578.2008873927,1.93
1191678.2008873927,1.9
1191778.2008873927,1.95
1191878.2008873927,1.87
1191978.2008873927,2.04
1192078.2008873927,1.84
1192178.2008873927,1.88
1192278.2008873927,1.93
1192378.2008873927,1.87
1192478.2008873927,1.94
1192578.2008873927,1.9
1192678.2008873927,2.07
1192778.2008873927,1.88
1192878.2008873927,1.95
1192978.2008873927,1.95
1193078.2008873927,1.93
1193178.2008873927,1.99
1193278.2008873927,1.91
1193378.2008873927,1.94
1193478.2008873927,1.96
1193578.2008873927,1.88
1193678.2008873927,1.9
1193778.2008873927,1.9
1193878.2008873927,1.86
1193978.2008873927,1.86
1194078.2008873927,1.86
1194178.2008873927,1.87
1194278.2008873927,1.82
1194378.2008873927,1.8
1194478.2008873927,1.8
1194578.2008873927,1.8
1194678.2008873927,1.82
1194778.2008873927,1.74
1194878.2008873927,1.86
1194978.2008873927,1.78
1195078.2008873927,1.75
1195178.2008873927,1.74
1195278.2008873927,1.87
1195378.2008873927,1.87
1195478.2008873927,1.87
1195578.2008873927,1.76
1195678.2008873927,1.64
1195778.2008873927,1.76
1195878.2008873927,1.7
1195978.2008873927,1.7
1196078.2008873927,1.64
1196178.2008873927,1.65
1196278.2008873927,1.6
1196378.2008873927,1.59
1196478.2008873927,1.57
1196578.2008873927,1.67
1196678.2008873927,1.65
1196778.2008873927,1.55
1196878.2008873927,1.6
1196978.2008873927,1.57
1197078.2008873927,1.58
1197178.2008873927,1.62
1197278.2008873927,1.54
1197378.2008873927,1.59
1197478.2008873927,1.54
1197578.2008873927,1.58
1197678.2008873927,1.52
1197778.2008873927,1.59
1197878.2008873927,1.55
1197978.2008873927,1.54
1198078.2008873927,1.59
1198178.2008873927,1.46
1198278.2008873927,1.49
1198378.2008873927,1.47
1198478.2008873927,1.45
1198578.2008873927,1.49
1198678.2008873927,1.39
1198778.2008873927,1.45
1198878.2008873927,1.48
1198978.2008873927,1.45
1199078.2008873927,1.45
1199178.2008873927,1.53
1199278.2008873927,1.47
1199378.2008873927,1.44
1199478.2008873927,1.49
1199578.2008873927,1.65
1199678.2008873927,1.43
1199778.2008873927,1.51
1199878.2008873927,1.52
1199978.2008873927,1.53
1200078.2008873927,1.45
1200178.2008873927,1.53
1200278.2008873927,1.47
1200378.2008873927,1.41
1200478.2008873927,1.47
1200578.2008873927,1.51
1200678.2008873927,1.46
1200778.2008873927,1.47
